Date,Adj Close,Volume,Close_-1,Delta,Delta_Class_Numeric,Close_-1_Delta,AVG_Weighted_Future_Return,Gain_Run,Gain_Loss,7-Day_Delta_AVG,30-Day_Delta_AVG,7-Day_High,30-Day_High,365-Day_High,7-Day_Low,30-Day_Low,365-Day_Low,Diff_from_7-Day_High,Diff_from_7-Day_Low,7-Day_AVG_Price,30-Day_AVG_Price,50-Day_AVG_Price,100-Day_AVG_Price,7-Day_AG_to_30-Day_AVG,30-Day_AG_to_50-Day_AVG,50-Day_AG_to_100-Day_AVG,7_to_30_5-Day_AVG,30_to_50_5-Day_AVG,50_to_100_5-Day_AVG,Year,Month
2021-12-07,50700.085938,33676814852,50582.625,0.00232215979301186,1.0,0.024585895795209766,-0.023952283124037296,0.0,0.0,-0.01829879002723316,-0.005930314071756018,57229.828125,67566.828125,67566.828125,49200.703125,49200.703125,18058.904297,-0.11614927639624115,0.02808744158572429,53351.92745528573,58793.21627613337,60011.08843761994,54516.18464849999,-0.0925496029217317,-0.020294118856926252,0.10079399034523484,-0.07353508654485634,-0.014792775135545739,0.10932914167737447,2021,12
2021-12-06,50582.625,37707308001,49368.847656,0.024585895795209766,1.0,0.0034175229279306786,-0.01828071057403608,0.0,0.0,-0.020418361123997173,-0.006530729959785436,57806.56640599999,67566.828125,67566.828125,49200.703125,49200.703125,18058.904297,-0.14596471083818266,0.0034175229279306786,54383.9190847143,59158.044791766704,60230.50828137994,54499.38242193999,-0.08070120849762834,-0.017805984379261536,0.10515946428656685,-0.06849478932812239,-0.011740834812781726,0.11295471557734771,2021,12
2021-12-05,49368.847656,37198201161,49200.703125,0.0034175229279306786,1.0,-0.08204639684081529,0.01734893391209037,0.0,1.0,-0.014564791536578133,-0.006821779387123952,57806.56640599999,67566.828125,67566.828125,49200.703125,49200.703125,18058.904297,-0.1488734553191997,0.0,55509.57756685716,59549.93906260004,60460.974922019945,54496.28062506998,-0.06784828934074263,-0.015068163564926339,0.10945140161007649,-0.06665877433956117,-0.008694649402345728,0.1159364457353738,2021,12
2021-12-04,49200.703125,61385677469,53598.246094,-0.08204639684081529,0.0,-0.05098586480928597,0.008086131582087996,0.0,0.0,0.0004770587185587784,-0.004890358957855505,57806.56640599999,67566.828125,67566.828125,53598.246094,53569.765625,18058.904297,-0.07280003940111533,0.0,56311.63113828573,59958.32330740004,60708.83984389994,54473.69578131998,-0.06082044940479904,-0.012362557716960178,0.11446155751227936,-0.06756771760814315,-0.005754418895991978,0.11841283492063441,2021,12
2021-12-03,53598.246094,39789134215,56477.81640599999,-0.05098586480928597,0.0,-0.013140205791942682,-0.07187841603517083,0.0,0.0,-0.0014802135293603817,-0.0033259822506141595,57806.56640599999,67566.828125,67566.828125,53569.765625,53569.765625,18058.904297,-0.022986142969773124,0.05428529968484421,56307.56249985716,60270.716666766704,60783.30539077995,54427.321211009985,-0.06575588255937946,-0.008433051159652738,0.11677929463271516,-0.07100857013009396,-0.0027073164502682988,0.12003195330741263,2021,12
2021-12-02,56477.81640599999,32379968686,57229.828125,-0.013140205791942682,0.0,0.003936508515208791,-0.07858317019721908,0.0,0.0,0.0029206829248325573,-0.001673857575144353,57806.56640599999,67566.828125,67566.828125,53569.765625,53569.765625,18058.904297,-0.009977037503824629,0.06832328753538391,56421.40011157144,60495.66953136671,60801.771015779945,54339.60421882998,-0.0673481168380619,-0.005034417243106193,0.11892185984510105,-0.0732701406127696,0.0002516923337678199,0.12134740302766582,2021,12
2021-12-01,57229.828125,36858195307,57005.42578099999,0.003936508515208791,1.0,-0.013858989986937647,-0.06158789846793735,0.0,0.0,-0.0008394450095102127,-0.0019760661168493217,57806.56640599999,67566.828125,67566.828125,53569.765625,53569.765625,18058.904297,-0.013858989986937647,0.06413431374798909,56285.77120528573,60621.488802200045,60777.99562515994,54262.76742195999,-0.0715211335548223,-0.0025750573270815463,0.12006811507669737,-0.07351954506200561,0.0032253560819587774,0.1225088058084999,2021,12
2021-11-30,57005.42578099999,36708594618,57806.56640599999,-0.013858989986937647,0.0,0.009748898117861662,-0.028965143046968143,1.0,0.0,0.0043883900947351675,-0.0018210345363121874,57806.56640599999,67566.828125,67566.828125,53569.765625,53569.765625,18058.904297,0.0,0.07908940297888396,56366.292410714304,60765.27317720004,60787.582890799946,54185.929687589974,-0.07239300568365245,-0.0003670110331575892,0.12183334753637948,-0.07131463203470746,0.006231247634007668,0.12382479675134503,2021,11
2021-11-29,57806.56640599999,32370840356,57248.45703099999,0.009748898117861662,1.0,0.044392510039863976,-0.030098582415014494,0.0,0.0,-0.0029423011501206312,-0.0023276593336558765,57569.07421900001,67566.828125,67566.828125,53569.765625,53569.765625,18058.904297,-0.005569260794091463,0.06867103790880158,56149.53850457144,60901.34869803338,60726.88312517995,54096.91894540997,-0.07802471201455312,0.0028729545116582197,0.12255714944617048,-0.06940423062033108,0.00926298748950254,0.12517289967604867,2021,11
2021-11-28,57248.45703099999,28116886357,54815.078125,0.044392510039863976,1.0,0.023246554945143088,-0.0006243686267499013,0.0,0.0,-0.011597474678842394,-0.0029244384128708184,58730.476563,67566.828125,67566.828125,53569.765625,53569.765625,17717.414063,-0.06666723423910857,0.023246554945143088,56361.255580571444,61067.33229180005,60681.278437679954,54017.82613290997,-0.07706373497275766,0.0063619927605278554,0.12335654323398113,-0.06516013979851705,0.012710690015816003,0.1264532996119324,2021,11
